date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:32:00	1819220/1819220	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:31:58%20GMT	https://www.amazon.com/Boy-Heron-Blu-ray-DVD/dp/B0D1334CZC/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Boy-Heron-Blu-ray-DVD/dp/B0D1334CZC/index52e0.html	(from https://www.amazon.com/)
08:32:00	26631/26631	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20May%202024%2018:31:25%20GMT	https://m.media-amazon.com/images/I/717bMx0AiXL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/717bMx0AiXL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:01	72912/72912	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2014:54:38%20GMT	https://m.media-amazon.com/images/I/814eTntftQL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/814eTntftQL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:02	35437/35437	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jul%202024%2018:57:08%20GMT	https://m.media-amazon.com/images/I/71hE73ha6OL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/71hE73ha6OL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:02	24029/24029	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20May%202024%2017:30:56%20GMT	https://m.media-amazon.com/images/I/611RP6ainiL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/611RP6ainiL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:03	51647/51647	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20May%202024%2018:17:57%20GMT	https://m.media-amazon.com/images/I/91ybHf2mi4L._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/91ybHf2mi4L._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:04	1855347/1855347	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:01%20GMT	https://www.amazon.com/Godzilla-Kong-Empire-Blu-ray-Digital/dp/B0CYBK5RT9/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Godzilla-Kong-Empire-Blu-ray-Digital/dp/B0CYBK5RT9/index52e0.html	(from https://www.amazon.com/)
08:32:05	1783346/1783346	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:02%20GMT	https://www.amazon.com/Fall-Guy-Ultra-Blu-ray-Digital/dp/B0D2LWPV9M/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Fall-Guy-Ultra-Blu-ray-Digital/dp/B0D2LWPV9M/index52e0.html	(from https://www.amazon.com/)
08:32:06	1767384/1767384	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:02%20GMT	https://www.amazon.com/Lord-Rings-Trilogy-Collection-Theatrical/dp/B08KJP4SHG/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Lord-Rings-Trilogy-Collection-Theatrical/dp/B08KJP4SHG/index52e0.html	(from https://www.amazon.com/)
08:32:07	30606/30606	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Aug%202022%2022:40:14%20GMT	https://m.media-amazon.com/images/I/71h7HHb9lIL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/71h7HHb9lIL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:08	1798516/1798516	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:05%20GMT	https://www.amazon.com/Dexters-Laboratory-Complete-DVD-Various/dp/B0D2KLZ865/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Dexters-Laboratory-Complete-DVD-Various/dp/B0D2KLZ865/index52e0.html	(from https://www.amazon.com/)
08:32:08	69612/69612	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20May%202024%2017:51:44%20GMT	https://m.media-amazon.com/images/I/81T6WFYUejL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/81T6WFYUejL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:08	34396/34396	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jul%202024%2017:35:57%20GMT	https://m.media-amazon.com/images/I/81O+BMeRFsL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/81O+BMeRFsL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:09	36881/36881	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Apr%202024%2016:46:33%20GMT	https://m.media-amazon.com/images/I/61NJU2v7PNL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/61NJU2v7PNL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:10	1856603/1856603	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:07%20GMT	https://www.amazon.com/Ghostbusters-Frozen-Empire-Combo-Digital/dp/B0CWLS98SX/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Ghostbusters-Frozen-Empire-Combo-Digital/dp/B0CWLS98SX/index52e0.html	(from https://www.amazon.com/)
08:32:11	1972478/1972478	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:07%20GMT	https://www.amazon.com/Lord-Rings-Picture-Extended-Theatrical/dp/B08KQBYM1Y/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Lord-Rings-Picture-Extended-Theatrical/dp/B08KQBYM1Y/index52e0.html	(from https://www.amazon.com/)
08:32:12	1788513/1788513	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:09%20GMT	https://www.amazon.com/Ministry-Ungentlemanly-Warfare-Digital-Steelbook/dp/B0CYRR2SKT/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Ministry-Ungentlemanly-Warfare-Digital-Steelbook/dp/B0CYRR2SKT/index52e0.html	(from https://www.amazon.com/)
08:32:13	1736372/1736372	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:32:11%20GMT	https://www.amazon.com/Kingdom-Planet-Apes-Digital-Steelbook/dp/B0D8J9HYGD/?_encoding=UTF8&pd_rd_w=BuiHK&content-id=amzn1.sym.41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_p=41f1b87d-2e7a-4fe4-bfcc-e038cab8f79e&pf_rd_r=BDX434G2T57CFH18WFKT&pd_rd_wg=N7hUo&pd_rd_r=9ef59737-30be-46b2-9afd-3f6eda7ee242&ref_=pd_hp_d_btf_crs_zg_bs_2625373011	C:/My%20Web%20Sites/sd/www.amazon.com/Kingdom-Planet-Apes-Digital-Steelbook/dp/B0D8J9HYGD/index52e0.html	(from https://www.amazon.com/)
08:32:14	51734/51734	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Apr%202024%2018:49:06%20GMT	https://m.media-amazon.com/images/I/81Sgvinf8qL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/81Sgvinf8qL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:15	48810/48810	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202024%2017:49:14%20GMT	https://m.media-amazon.com/images/I/71VqZh-HhoL._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/71VqZh-HhoL._AC_SY400_.jpg	(from https://www.amazon.com/)
08:32:15	31495/31495	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202024%2018:15:20%20GMT	https://m.media-amazon.com/images/I/71IXM3sX7-L._AC_SY400_.jpg	C:/My%20Web%20Sites/sd/m.media-amazon.com/images/I/71IXM3sX7-L._AC_SY400_.jpg	(from https://www.amazon.com/)
